record_type,user_email,user_name,service_name,service_description,priority_level,expected_duration,queue_status,current_waiting,joined_at,completed_at,outcome,wait_minutes,participation_count,total_participations,users_served,canceled,average_wait_minutes,unique_customers
SUMMARY,,,,,,,,0,,,,,,18,18,0,12.3,1
SERVICE,,,Academic Advising,Degree planning and academic advising support,high,15,open,0,,,,,,,6,0,,
SERVICE,,,Financial Aid,Financial aid questions and document review,medium,12,open,0,,,,,,,6,0,,
SERVICE,,,IT Help Desk,"Account, device, and campus technology support",medium,10,open,0,,,,,,,6,0,,
HISTORY,student@queuesmart.local,Demo Student,Financial Aid,,,,,,2026-08-04T16:00:00,2026-08-04T16:13:00,served,13,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,IT Help Desk,,,,,,2026-08-04T16:00:00,2026-08-04T16:11:00,served,11,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Academic Advising,,,,,,2026-08-04T15:00:00,2026-08-04T15:09:00,served,9,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Academic Advising,,,,,,2026-08-02T15:00:00,2026-08-02T15:11:00,served,11,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,IT Help Desk,,,,,,2026-08-02T15:00:00,2026-08-02T15:08:00,served,8,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Financial Aid,,,,,,2026-08-02T14:00:00,2026-08-02T14:08:00,served,8,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,IT Help Desk,,,,,,2026-07-31T15:00:00,2026-07-31T15:06:00,served,6,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Financial Aid,,,,,,2026-07-31T14:00:00,2026-07-31T14:10:00,served,10,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Academic Advising,,,,,,2026-07-31T13:00:00,2026-07-31T13:18:00,served,18,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Financial Aid,,,,,,2026-07-29T12:00:00,2026-07-29T12:25:00,served,25,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,IT Help Desk,,,,,,2026-07-29T12:00:00,2026-07-29T12:18:00,served,18,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Academic Advising,,,,,,2026-07-29T11:00:00,2026-07-29T11:22:00,served,22,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Financial Aid,,,,,,2026-07-27T10:00:00,2026-07-27T10:12:00,served,12,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,IT Help Desk,,,,,,2026-07-27T10:00:00,2026-07-27T10:12:00,served,12,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Academic Advising,,,,,,2026-07-27T09:00:00,2026-07-27T09:10:00,served,10,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Financial Aid,,,,,,2026-07-25T09:00:00,2026-07-25T09:14:00,served,14,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,Academic Advising,,,,,,2026-07-25T09:00:00,2026-07-25T09:08:00,served,8,18,,,,,
HISTORY,student@queuesmart.local,Demo Student,IT Help Desk,,,,,,2026-07-25T08:00:00,2026-07-25T08:07:00,served,7,18,,,,,
